Stock Code,Company Description
MNDO,"MIND C.T.I. Ltd., together with its subsidiaries, engages in design, development, marketing, supports, implements, and operation of billing and customer care systems in the Americas, Europe, Israel, the Asia Pacific, and Africa. It operates in two segments, Billing and Related Services and Messaging. The company offers billing and customer care solutions that support various services, such as voice, data, and content services, as well as prepaid, postpaid, and pay-in-advance payment models in a single platform. Its solutions also include a workflow engine to support the implementation of business processes, including subscriber registration, order management, trouble ticket, and debt collection; and an integral point of sale solution that covers all dealer, store and cashier management, and sales cycle related activities. In addition, the company offers professional services comprising turnkey project delivery, customer support and maintenance, integration, customizations, and project management, as well as managed services, including day to day billing operational tasks to its billing and customer care customers. Further, it provides PhonEX ONE, a call management system that collects, records, and stores call information, which is used by organizations for telecom expense management, call accounting, traffic analysis, and fraud detection; and enterprise mobile messaging platform. The company offers its products directly, as well as through distributors and resellers primarily to communication service providers, such as traditional wireline and wireless, voice over IP, broadband IP network operators, wireless internet service providers, LTE operators, cable operators, and mobile virtual network operators. MIND C.T.I. Ltd. was incorporated in 1995 and is headquartered in Yokne'am Illit, Israel."
MNDY,"monday.com Ltd., together with its subsidiaries, develops software applications in the United States, Europe, the Middle East, Africa, and internationally. It provides Work OS, a cloud-based visual work operating system that consists of modular building blocks used and assembled to create software applications and work management tools. The company also offers product solutions for work management, sales CRM, and software development verticals; and business development, presale, and customer success services. It serves organizations, educational or government institution, and distinct business unit of an organization. The company was formerly known as DaPulse Labs Ltd. and changed its name to monday.com Ltd. in December 2017. monday.com Ltd. was incorporated in 2012 and is headquartered in Tel Aviv, Israel."
MNKD,"MannKind Corporation, a biopharmaceutical company, focuses on the development and commercialization of inhaled therapeutic products for endocrine and orphan lung diseases in the United States. It offers Afrezza, an inhaled insulin used to improve glycemic control in adults with diabetes, and the V-Go wearable insulin delivery device, which provides continuous subcutaneous infusion of insulin in adults. The company's product pipeline also includes Tyvaso DP Treprostinil, an inhalation powder for the treatment of pulmonary arterial hypertension and pulmonary hypertension associated with interstitial lung disease; MNKD-101, a nebulized formulation of clofazimine, for the treatment of severe chronic and recurrent pulmonary infections, including nontuberculous mycobacterial lung disease, and idiopathic pulmonary and cystic fibrosis. In addition, it has collaboration and license agreement with United Therapeutics Corporation for development, regulatory, and commercial activities of Tyvaso DPI; co-promotion agreement with Vertice Pharma to promote Thyquidity; and collaboration agreement with Thirona to evaluate the therapeutic for the treatment of pulmonary fibrosis. Further, the company has supply and distribution agreement with Biomm S.A. for the commercialization of Afrezza in Brazil; and license and distribution agreement with Cipla Ltd. for the marketing and distribution of Afrezza in India. MannKind Corporation was incorporated in 1991 and is headquartered in Danbury, Connecticut."
MNMD,"Mind Medicine (MindMed) Inc., a clinical stage biopharmaceutical company, develops novel products to treat brain health disorders. The company's lead product candidates include MM-120, which is in phase 2 for the treatment of generalized anxiety disorder and attention deficit hyperactivity disorder; and MM-402, a R-enantiomer of 3,4-methylenedioxymethamphetamine for the treatment of core symptoms of autism spectrum disorder. The company also develops MM-110, an a3ß4 nicotinic cholinergic receptor antagonist that has completed phase 1 for the treatment of opioid withdrawal. The company is headquartered in New York, New York."
MNOV,"MediciNova, Inc., a biopharmaceutical company, focuses on developing novel and small molecule therapeutics for the treatment of serious diseases with unmet medical needs in the United States. It is developing MN-166 (ibudilast), an oral anti-inflammatory and neuroprotective agent for treating neurological and other disorders, such as primary and secondary progressive multiple sclerosis, amyotrophic lateral sclerosis, chemotherapy-induced peripheral neuropathy, degenerative cervical myelopathy, glioblastoma, and substance dependence and addiction. The company's product pipeline also includes MN-221 (bedoradrine), a selective beta-2-adrenergic receptor agonist for the treatment of acute exacerbations of asthma; MN-001 (tipelukast), an orally bioavailable small molecule compound to treat fibrotic and other diseases, including nonalcoholic steatohepatitis and idiopathic pulmonary fibrosis; and MN-029 (denibulin), a tubulin binding agent for treating solid tumor cancers. It has collaboration agreements with Kissei Pharmaceutical Co., Ltd.; Kyorin Pharmaceutical Co., Ltd; Angiogene Pharmaceuticals Ltd.; and Meiji Seika Kaisha Ltd. The company was incorporated in 2000 and is headquartered in La Jolla, California."
MNPR,"Monopar Therapeutics Inc., a clinical-stage biopharmaceutical company, engages in developing therapeutics for the treatment of cancer in the United States. Its lead product candidate in development is Validive, a clonidine hydrochloride mucobuccal tablet that is in Phase 2b/3 clinical trial for the prevention of chemoradiotherapy induced severe oral mucositis in patients with oropharyngeal cancer. The company also engages in developing Camsirubicin, an analog of doxorubicin, which is in Phase 1b clinical trial for the treatment of advanced soft tissue sarcoma; MNPR-101, a urokinase plasminogen activator receptor targeted antibody for the treatment of various cancers; MNPR-101 RIT, a radioimmunotherapeutic based on MNPR-101 for the potential treatment of cancer and severe COVID-19; and MNPR-202, an analog of camsirubicin to treat doxorubicin-and camsirubicin-resistant cancers. Monopar Therapeutics Inc. has collaborations with the Grupo Español de Investigación en Sarcomas for the development of camsirubicin in patients with advanced soft tissue sarcoma; NorthStar Medical Radioisotopes, LLC to develop radio-immuno-therapeutics targeting severe COVID-19; and the Cancer Science Institute of Singapore to evaluate the activity of MNPR-202 and related analogs in various types of cancer. The company was founded in 2014 and is headquartered in Wilmette, Illinois."
MNRO,"Monro, Inc. provides automotive undercar repair, and tire sales and services in the United States. It offers replacement tires and tire related services, automotive undercar repair services, and routine maintenance services primarily to passenger cars, light trucks, and vans. The company also provides other products and services for brakes; mufflers and exhaust systems; and steering, drive train, suspension, and wheel alignment. In addition, it operates stores under the brand names of Monro Auto Service and Tire Centers, Tire Choice Auto Service Centers, Mr. Tire Auto Service Centers, Car-X Tire & Auto, Tire Warehouse Tires for Less, Ken Towery's Tire & Auto Care, Mountain View Tire & Auto Service, and Tire Barn Warehouse. The company was founded in 1957 and is headquartered in Rochester, New York."
MNSB,"MainStreet Bancshares, Inc. operates as the bank holding company for MainStreet Bank that provides various banking products and services for individuals, small to medium-sized businesses, and professional service organizations. The company offers demand, NOW, money market, savings, and sweep accounts, as well as certificates of deposit; business and consumer checking, interest-bearing checking, business account analysis, and other depository services; and cash management, wire transfer, check imaging, bill pay, remote deposit capture, and courier services. It also provides commercial loans, include government contract receivables, plant and equipment, general working capital, contract administration, and acquisition loans; commercial real estate, real estate construction, and residential real estate loans; and consumer loans comprising term loans and overdraft protection, as well as debit and credit cards. In addition, the company offers deposit insurance solutions; remote deposit of checks; and internet bill payment, online cash management, and online and mobile banking services. It operates in Herndon, Fairfax, McLean, Leesburg, Clarendon, and Washington D.C., as well as automated teller machines. MainStreet Bancshares, Inc. was incorporated in 2003 and is headquartered in Fairfax, Virginia."
MNST,"Monster Beverage Corporation, through its subsidiaries, engages in development, marketing, sale, and distribution of energy drink beverages and concentrates in the United States and internationally. The company operates through three segments: Finished Product, Concentrate, and Other. It offers carbonated non-carbonated energy drinks, ready-to-drink iced teas and juice drinks, lemonades, juice cocktails, single-serve juices and fruit beverages, ready-to-drink dairy and coffee drinks, energy drinks, sports drinks and single-serve still waters, and sodas that are considered natural, sparkling juices, and flavored sparkling beverages. The company sells its products to full service beverage bottlers/distributors, retail grocery and specialty chains, wholesalers, club stores, drug chains, mass merchandisers, convenience chains, health food distributors, food service customers, and the military; and concentrates and/or beverage bases to authorized bottling and canning operations. It provides its products under the Monster Energy, Monster Energy Ultra, Monster Rehab, Monster Energy Nitro, Java Monster, Punch Monster, Juice Monster, Muscle Monster, Espresso Monster, Monster Hydro Energy Water, Monster Hydro Super Sport, Monster Super Fuel, Monster Dragon Tea, Reign Total Body Fuel, and Reign Inferno Thermogenic Fuel, Reign Storm, True North, NOS, Full Throttle, Burn, Mother, Nalu, Ultra Energy, Play and Power Play (stylized), Relentless, BPM, BU, Gladiator, Samurai, Live+, Predator, and Fury brands. The company was formerly known as Hansen Natural Corporation and changed its name to Monster Beverage Corporation in January 2012. Monster Beverage Corporation was founded in 1985 and is headquartered in Corona, California."
MNTK,"Montauk Renewables, Inc., a renewable energy company, engages in recovery and processing of biogas from landfills and other non-fossil fuel sources. It operates in two segments, Renewable Natural Gas and Renewable Electricity Generation. The company develops, owns, and operates renewable natural gas (RNG) projects that capture methane and prevents it from being released into the atmosphere by converting it into either RNG or electrical power for the electrical grid. Its customers for RNG and renewable identification numbers (RIN) include long-term owner-operators of landfills and livestock farms, local utilities, and refiners in the natural gas and refining sectors. Montauk Renewables, Inc. was founded in 1980 and is headquartered in Pittsburgh, Pennsylvania."
MNTS,"Momentus Inc., together with its subsidiaries, operates as a commercial space company. The company focuses on providing in-space infrastructure services, including in-space transportation, hosted payloads, and in-orbit services. Its principal and target customers include satellite operators. The company is headquartered in San Jose, California."
MOB,"Mobilicom Limited operates as an end-to-end provider of cybersecurity and smart solutions for drones, robotics, and autonomous platforms. It designs, develops, and delivers smart solutions, such as cloud management software, communication datalink and mobile mesh networking terminals, handheld control terminals, and professional services and support for drone, robotics, and autonomous system manufacturers, as well as hardware products and software solutions. Mobilicom Limited was incorporated in 2017 and is based in Shoham, Israel."
MOBQ,"Mobiquity Technologies, Inc., together with its subsidiaries, operates as an advertising technology, data compliance, and intelligence company in the United States. It provides advertising technology operating system platform includes adserver, demand side platform, advertisement quality tools, analytics dashboard, engine, advertisement prediction and delivery tools, supply quality tools, private marketplace tools, audience and location targeting, reports, an advertisement software development kit, prebid adaptor, contextual targeting, identity graph capabilities, cookie syncing, and the updated version of a quality and security tools that blends artificial intelligence and machine learning-based optimization technology which automatically serves advertising and manages digital advertising inventory and campaigns. The company also offers data intelligence platform for providing precise data and insights on consumer's real-world behavior and trends for use in marketing and research; and MobiExchange is a data-focused technology solution that enables users to rapidly build actionable data and insights for its own use, providing out-of-the box private labeling, flexible branding, content management, user management, user communications, subscriptions, payment, invoices, reporting, gateways to third party platforms, and help desk solutions. In addition, it provides content publisher platform, a single-vendor ad tech operating system with tools for consent management, audience building, a direct advertising interface, and inventory enhancement, that allows publishers to better monetize their opt-in user data and advertising inventory. The company was formerly known as Ace Marketing & Promotions, Inc. and changed its name to Mobiquity Technologies, Inc. in September 2013. Mobiquity Technologies, Inc. was founded in 1998 and is headquartered in Shoreham, New York."
MODV,"ModivCare Inc., a technology-enabled healthcare services company, provides a suite of integrated supportive care solutions for public and private payors and their members. The company operates through four segments: Non-Emergency Medical Transportation (NEMT), Personal Care, Remote Patient Monitoring (RPM), and Corporate and Other. The company offers risk underwriting, contact center management, network credentialing, claims management, and non-emergency medical transport management services for Medicaid or Medicare eligible members, whose limited mobility or financial resources hinder their ability to access necessary healthcare and social services. It also provides in-home personal care services, such as bathing, personal hygiene, grooming, oral care, dressing, medication reminders, meal planning, preparation and feeding, housekeeping, transportation services, prescription reminders, and assistance with dressing and ambulation services through placing non-medical personal care assistants, home health aides, and skilled nurses primarily to Medicaid patients in need of care monitoring and assistance in performing daily living activities, including senior citizens and disabled adults. Ina addition, the company offers remote patient monitoring solutions, including personal emergency response systems, vitals monitoring, medication management, and data-driven patient engagement solutions. It serves federal, state, and local government agencies, MCOs, commercial insurers, private individuals, and health systems. The company was formerly known as The Providence Service Corporation and changed its name to ModivCare Inc. in January 2021. ModivCare Inc. was incorporated in 1996 and is based in Denver, Colorado."
MOFG,"MidWestOne Financial Group, Inc. operates as the bank holding company for MidWestOne Bank that provides commercial and retail banking products and services to individuals, businesses, governmental units, and institutional customers. It offers range of deposit products, which includes noninterest bearing and interest bearing demand deposits, savings, money market, and time deposits accounts. The company provides commercial, real estate, agricultural, credit card, and consumer loans; and financing arrangements including brokered deposits, term debt, subordinated debt, and equity. In addition, it offers trust and investment services, which includes administering estates, personal trusts, and conservatorships; property and farm management, investment advisory, retail securities brokerage, financial planning, and custodial services; and licensed brokers services including securities trading, financial planning, mutual funds sales, fixed and variable annuities, tax-exempt, and conventional unit trusts. Further, the company provides online and mobile banking, debit cards, automated teller machines, and safe deposit boxes. MidWestOne Financial Group, Inc. was incorporated in 1983 and is headquartered in Iowa City, Iowa."
MOGO,"Mogo Inc. operates as a digital finance company in Canada, Europe, and internationally. The company provides digital solutions to the consumers to improve their financial health. It offers Mogo Trade, a digital wealth platform for investments; Moka app, a round-up-and-save app that allows users to save and invest with no investment knowledge by rounding up everyday purchases and investing the spare change into a fully managed investment portfolio; MogoCard that is designed to help members learn to spend less than they earn; MogoProtect, a mobile-first identity fraud protection product; MogoMoney that provides access to personal loans; and MogoMortgage, a digital mortgage product, as well as free credit score monitoring service. The company also operates Carta, a digital payments platform that offers technology and services, which enable financial technology companies, banks, and corporations to issue payment products to consumers via multiple channels, including physical, virtual, and tokenized cards, as well as payment switching and routing services. Mogo Inc. is based in Vancouver, Canada."
MOMO,"Hello Group Inc. provides mobile-based social and entertainment services in the People's Republic of China. The company offers Momo, a mobile application that connects people and facilitates social interactions based on location, interests, and various online recreational activities including, live talent shows, short videos, social games, as well as other video- and audio-based interactive experiences, such as online parties, mobile karaoke and user participated reality shows; Tantan, a social and dating application; and other applications under the Hertz, Soulchill, Duidui, and Tietie names. The company also provides livestream services for various content and activities comprising talent shows, such as singing, dancing, and talk shows, as well as casual chatting, and other forms of interactions between broadcasters and viewers to its platform's users; value-added services; advertising and marketing services; and mobile games. The company was formerly known as Momo Inc. and changed its name to Hello Group Inc. in August 2021. Hello Group Inc. was incorporated in 2011 and is headquartered in Beijing, the People's Republic of China."
MOND,"Mondee Holdings, Inc. operates as a travel technology company in the leisure and corporate travel markets in the United States and internationally. The company operates through two segments, Travel Marketplace and SaaS Platform. The Travel Marketplace segment primarily engages in sale of airline tickets through its platform. The SAAS Platform segment offers corporate travel cost savings solutions through its technology platform. The company connects a network of leisure travel and gig economy workers, vacation homes, hotels, packaged solutions, and ancillary offerings. The company was founded in 2011 and is headquartered in Austin, Texas."
MOR,"MorphoSys AG, a commercial-stage biopharmaceutical company, engages in the discovery, development, and commercialization of therapeutic antibodies for patients suffering from cancer and autoimmune diseases in the United States. It offers Tafasitamab, an antibody for the treatment of B cell malignancies, including diffuse large B-cell lymphoma, follicular lymphoma, and marginal zone lymphoma. The company also develops Pelabresib, a small molecule to treat myelofibrosis; Felzartamab, an antibody directed against CD38 for the treatment of anti-PLA2R-positive membranous nephropathy, an autoimmune disease; and CPI-0209, a small molecule to promote anti-tumor activity by inhibiting EZH2 and EZH1. In addition, it develops Gantenerumab, an antibody for the treatment of Alzheimer's diseases; and Otilimab, an antibody for rheumatoid arthritis. The company has a regional licensing agreement with I-Mab Biopharma to develop and commercialize felzartamab in China, Taiwan, Hong Kong, and Macau; a strategic alliance with the LEO Pharma; a joint collaboration and license agreement with Incyte Corporation to develop and commercialize MorphoSys investigational compound tafasitamab; and a clinical collaboration with Incyte Corporation and Xencor, Inc. to investigate the combination of tafasitamab, plamotamab, and lenalidomide in patients with relapsed or refractory diffuse large B-cell lymphoma, and relapsed or refractory follicular lymphoma. MorphoSys AG was founded in 1992 and is headquartered in Planegg, Germany."
MORF,"Morphic Holding, Inc., a biopharmaceutical company, discovers and develops oral small-molecule integrin therapeutics for the treatment of autoimmune, cardiovascular, and metabolic diseases, as well as fibrosis and cancer. Its lead product candidate MORF-057, an a4ß7-specific integrin inhibitor affecting inflammation is in Phase 2 clinical trials for the treatment of inflammatory bowel disease. The company's products in pipeline include Next Gen a4ß7 Inhibitors for additional potential GI indications, such as EGIDs, pouchitis, etc.; avß8 for the treatment of Myelofibrosis and solid tumor; and fibronectin integrin for pulmonary hypertensive. In addition, it has a license agreement with Janssen to discover and develop novel integrin therapeutics; collaboration agreement with Schrödinger for integrin targets; and license agreement with Children's Medical Center Corporation to develop and commercialize products worldwide for any therapeutic or diagnostic use in humans and veterinary applications. The company was incorporated in 2014 and is headquartered in Waltham, Massachusetts."
MORN,"Morningstar, Inc. provides independent investment insights in the United States, Canada, Asia, Australia, Europe, the United Kingdom, and internationally. The company provides investment data, fundamental equity and manager research, private capital markets research, credit and fund rating, and index; environmental, social, and governance (ESG) rating, as well as indexes directly on its proprietary desktop or web-based software platforms, or through subscriptions, data feeds, and third-party distributors; and investment offerings, including managed investment products, publicly listed and private companies, fixed income securities, private credit, and bank loans. It also provides Morningstar Data that offers data and research to asset managers, redistributors, and wealth managers; Morningstar Direct, an investment-analysis platform; Morningstar Managed Portfolios, an advisor service to reduce compliance risk, as well as offers asset-allocation services; Morningstar Advisor Workstation, a web-based research, investment planning, and portfolio analysis platform; and Morningstar.com, a data, editorial, and research content product, as well as Morningstar Office. In addition, the company offers Morningstar Enterprise Components; Morningstar Indexes for creating investment products and other portfolios; Morningstar workplace solutions, such as retirement accounts, fiduciary services, allocation funds, and custom models; and PitchBook Platform, research and analysis workstation for investment and research professionals. Further, it provides Morningstar Research; DBRS Morningstar; and Morningstar Sustainalytics, as well as a mobile application, CRM integrations, excel plug-in, data feeds, and data solutions through PitchBook. The company serves financial advisors, asset managers, retirement plan providers and sponsors, and individual and institutional investors, as well as issuers of securities. Morningstar, Inc. was incorporated in 1984 and is based in Chicago, Illinois."
MOTS,"Motus GI Holdings, Inc. operates as a medical technology company in the United States. It develops Pure-Vu system, a medical device to facilitate the cleansing of a poorly prepared gastrointestinal tract during the colonoscopy and facilitates upper gastrointestinal endoscopy procedures. The company was formerly known as Eight-Ten Merger Corp. and changed its name to Motus GI Holdings, Inc. in November 2016. Motus GI Holdings, Inc. was founded in 2008 and is based in Fort Lauderdale, Florida."
MOVE,"Movano Inc. engages in developing a platform to deliver healthcare solutions at the intersection of medical and consumer devices. The company is involved in the development of Evie Ring, which is a wearable designed specifically for women that combines health and wellness metrics comprises resting heart rate, heart rate variability (HRV), blood oxygen saturation (SpO2), respiration rate, skin temperature variability, period and ovulation tracking, and menstrual symptom tracking, as well as activity profile, including steps, active minutes and calories burned, sleep stages and duration, and mood tracking. It also develops System-on-a-Chip (SoC), for blood pressure or continuous glucose monitoring (CGM) systems. The company was formerly known as Maestro Sensors Inc. and changed its name to Movano Inc. in August 2018. Movano Inc. was incorporated in 2018 and is based in Pleasanton, California."
MOXC,"Moxian (BVI) Inc provides internet and bitcoin mining services. The company operates an online-to-offline business that provides an online platform for small and medium-sized enterprises with physical stores to conduct business online, interact with existing customers, and obtain new ones. It also operates the Games Channel, an application that develops contacts with the mobile gaming industry in China. Moxian (BVI) Inc was incorporated in 2010 and is headquartered in Beijing, the People's Republic of China."
MPWR,"Monolithic Power Systems, Inc. engages in the design, development, marketing, and sale of semiconductor-based power electronics solutions for the computing and storage, automotive, industrial, communications, and consumer markets. The company provides direct current (DC) to DC integrated circuits (ICs) that are used to convert and control voltages of various electronic systems, such as portable electronic devices, wireless LAN access points, computers and notebooks, monitors, infotainment applications, and medical equipment. It also offers lighting control ICs for backlighting that are used in systems, which provide the light source for LCD panels in notebook computers, monitors, car navigation systems, and televisions, as well as for general illumination products. The company sells its products through third-party distributors and value-added resellers, as well as directly to original equipment manufacturers, original design manufacturers, electronic manufacturing service providers, and other end customers in China, Taiwan, Europe, South Korea, Southeast Asia, Japan, the United States, and internationally. Monolithic Power Systems, Inc. was incorporated in 1997 and is based in Kirkland, Washington."
MQ,"Marqeta, Inc. operates a cloud-based open application programming interface platform that delivers card issuing and transaction processing services to developers, technical product managers, and visionary entrepreneurs. It offers its solutions in various verticals, including commerce disruptors, financial technology, embedded finance solutions, and large financial institution. Marqeta, Inc. was incorporated in 2010 and is headquartered in Oakland, California."
MRAI,"Marpai, Inc., a technology-driven healthcare payer, focuses on providing services to the self-insured employer market in the United States and Israel. The company offers ancillary services, such as care management, case management, actuarial services, health savings account administration, bill review and cost containment services. It also develops artificial intelligence and healthcare technology. Marpai, Inc. was incorporated in 2021 and is headquartered in New York, New York."
MRAM,"Everspin Technologies, Inc. manufactures and sells magnetoresistive random access memory (MRAM) products in the United States, Hong Kong, Japan, China, Canada, Germany, and internationally. It offers Toggle MRAM, spin-transfer torque MRAM, and tunnel magneto resistance sensor products, as well as foundry services for MRAM products. The company provides its products for applications, including industrial, medical, automotive/transportation, aerospace, and data center markets. It serves original equipment manufacturers, contract manufacturers, and original design manufacturers through a direct sales channel and a network of representatives and distributors. Everspin Technologies, Inc. was incorporated in 2008 and is headquartered in Chandler, Arizona."
MRBK,"Meridian Corporation operates as the holding company for Meridian Bank that provides commercial banking products and services in Pennsylvania, New Jersey, Delaware, Florida, and Maryland. The company offers various deposit products, such as demand non-interest bearing, demand interest bearing, savings accounts, money market accounts, and time deposits. It also provides commercial and industrial loans comprising business lines of credit, term loans, small business lending, lease financing, shared national credits, and other financing; commercial real estate, and land development and construction loans for residential and commercial projects; and consumer and home equity lending, private banking, merchant, and title and land settlement services. In addition, the company operates and originates mortgage loans for 1 4 family dwellings; and offers real estate holding, investment advisory, and equipment leasing services, as well as financial planning and wealth management services. The company was incorporated in 2004 and is headquartered in Malvern, Pennsylvania."
MRCC,"Monroe Capital Corporation is a business development company specializing in customized financing solutions in senior, unitranche and junior secured debt, subordinated debt financing and to a lesser extent, unsecured debt and equity, including equity co-investments in preferred and common stock and warrants. It also provides financing primarily to leveraged buyouts in lower middle-market companies. It focuses to invest in the United States and Canada. The fund prefers to invest in companies with EBITDA between $3 and $35 million. Its makes minority equity investments."
MREO,"Mereo BioPharma Group plc, a biopharmaceutical company, develops and commercializes therapeutics for the treatment of oncology and rare diseases in the United Kingdom and internationally. Its lead product candidate, etigilimab (OMP-313M32), an antibody T-cell immunoreceptor with Ig and ITIM domains, which is in Phase 1b clinical trial for the treatment of tumors. The company is also developing Navicixizumab (OMP-305B83), which has completed Phase 1b clinical trials for the treatment of the late line ovarian cancer; Acumapimod (BCT-197), a p38 MAP kinase inhibitor that is in Phase II clinical trials to treat acute exacerbations of chronic obstructive pulmonary disease; and Leflutrozole (BGS-649), an oral aromatase inhibitor for the treatment of hypogonadotropic hypogonadism which is in Phase 2 trials. In addition, it develops rare disease product candidates, including Setrusumab (BPS-804), a novel antibody for the treatment of osteogenesis imperfecta; and Alvelestat (MPH-966), an oral small molecule that is in Phase II clinical trial to treat Alpha-1 anti-trypsin deficiency. The company has a collaboration with The University of Texas MD Anderson Cancer Center to evaluate anti-TIGIT therapeutic antibody candidate, etigilimab; and license agreement with Ultragenyx Pharmaceutical Inc. to develop and commercialize setrusumab. Mereo BioPharma Group plc was incorporated in 2015 and is headquartered in London, the United Kingdom."
MRIN,"Marin Software Incorporated, together with its subsidiaries, provides enterprise marketing software for advertisers and agencies in the United States, the United Kingdom, and internationally. It offers MarinOne, a search, social, and eCommerce advertising platform, as well as managed services. The company markets and sells its solutions to advertisers directly, and through advertising agencies that use its platform on behalf of their customers. Marin Software Incorporated was incorporated in 2006 and is headquartered in San Francisco, California."
MRKR,"Marker Therapeutics, Inc., a clinical-stage immuno-oncology company, engages in the development and commercialization of various T cell-based immunotherapies for the treatment of hematological malignancies and solid tumor indications in the United States. Its MultiTAA-specific T cell technology is based on the manufacture of non-engineered tumor-specific T cells that recognize multiple tumor-associated antigens and kill tumor cells. The company's MultiTAA-specific T cell therapies include autologous T cells for the treatment of lymphoma and selected solid tumors; allogeneic T cells for the treatment of acute myeloid leukemia (AML) and acute lymphoblastic leukemia; and off-the-shelf products in various indications. It is also developing MT-401, which is in Phase 2 clinical trial for the treatment of post-transplant AML; MT-401-OTS for the treatment of AML; and MT-601 for the treatment of pancreatic cancer and lymphoma. Marker Therapeutics was founded in 1999 and is headquartered in Houston, Texas."
MRNA,"Moderna, Inc., a biotechnology company, discovers, develops, and commercializes messenger RNA therapeutics and vaccines for the treatment of infectious diseases, immuno-oncology, rare diseases, autoimmune, and cardiovascular diseases in the United States, Europe, and internationally. Its respiratory vaccines include COVID-19, influenza, respiratory syncytial virus, spikevax, and hMPV/PIV3 vaccines; latent vaccines comprise cytomegalovirus, epstein-barr virus, herpes simplex virus, varicella-zoster virus, and human immunodeficiency virus vaccines; and public health vaccines consists of Zika and Nipah vaccines. The company also offers systemic secreted and cell surface therapeutics; cancer vaccines, such as personalized cancer, KRAS, and checkpoint vaccines; intratumoral immuno-oncology products; localized regenerative, systemic intracellular, and inhaled pulmonary therapeutics. It has strategic alliances and collaborations with AstraZeneca; Merck; Vertex Pharmaceuticals Incorporated; Vertex Pharmaceuticals (Europe) Limited; Chiesi Farmaceutici S.p.A.; Metagenomi, Inc.; Carisma Therapeutics, Inc.; CytomX Therapeutics; Defense Advanced Research Projects Agency; Biomedical Advanced Research and Development Authority; Institute for Life Changing Medicines; and The Bill & Melinda Gates Foundation. The company was formerly known as Moderna Therapeutics, Inc. and changed its name to Moderna, Inc. in August 2018. Moderna, Inc. was founded in 2010 and is headquartered in Cambridge, Massachusetts."
MRNS,"Marinus Pharmaceuticals, Inc., a pharmaceutical company, focuses on development and commercialization of therapeutic products for patients suffering from rare genetic epilepsies and other seizure disorders. It offers ZTALMY (ganaxolone), an oral suspension for the treatment of seizures associated with cyclin-dependent kinase-like 5 deficiency disorder for adult and pediatric patient populations in acute and chronic care, and in-patient and self-administered settings. The company's ZTALMY product candidate acts at synaptic and extrasynaptic GABAA receptors, a target for its anti-seizure, antidepressant, and anxiolytic potential. It is developing ganaxolone for treating genetic epilepsy disorders, such as PCDH19-related epilepsy, and tuberous sclerosis complex. Marinus Pharmaceuticals, Inc. has license agreement with Purdue Neuroscience Company and CyDex Pharmaceuticals, Inc.; and collaboration agreement with Orion Corporation and Tenacia Biotechnology (Shanghai) Co., Ltd. The company was incorporated in 2003 and is headquartered in Radnor, Pennsylvania."
MRSN,"Mersana Therapeutics, Inc., a clinical stage biopharmaceutical company, develops antibody drug conjugates (ADC) for cancer patients with unmet needs. The company develops XMT-1660, a B7-H4-targeted Dolasynthen ADC candidate; and XMT-2056, an immunosynthen ADC. It has a research and development collaborations with Janssen Biotech, Inc. and Merck KGaA, as well as collaboration agreement with Asana BioSciences, LLC for the development of ADC product candidates. The company was formerly known as Nanopharma Corp. and changed its name to Mersana Therapeutics, Inc. in November 2005. Mersana Therapeutics, Inc. was incorporated in 2001 and is headquartered in Cambridge, Massachusetts."
MRTN,"Marten Transport, Ltd. operates as a temperature-sensitive truckload carrier for shippers in the United State, Mexico, and Canada. The company operates through four segments: Truckload, Dedicated, Intermodal, and Brokerage. The Truckload segment transports food and other consumer packaged goods that require a temperature-controlled or insulated environment, as well as dry freight. The Dedicated segment offers customized transportation solutions for individual customers' requirements using temperature-controlled trailers, dry vans, and other specialized equipment. The Intermodal segment transports customers' freight utilizing its refrigerated containers and temperature-controlled trailers on railroad flatcars for portions of trips, as well as using tractors and contracted carriers. The Brokerage segment develops contractual relationships with and arranges for third-party carriers to transport freight for customers in temperature-controlled trailers and dry vans. As of December 31, 2022, the company operated a fleet of 3,660 tractors, that included 3,564 company-owned tractors and 96 tractors supplied by independent contractors. Marten Transport, Ltd. was founded in 1946 and is headquartered in Mondovi, Wisconsin."
